"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Avg. Travel Time to Work (in Minutes)","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","avtt","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","86021","AZ","86021","=""86021""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86022","AZ","86022","=""86022""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86023","AZ","86023","=""86023""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86024","AZ","86024","=""86024""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86025","AZ","86025","=""86025""","17","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86028","AZ","86028","=""86028""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86029","AZ","86029","=""86029""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86030","AZ","86030","=""86030""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86031","AZ","86031","=""86031""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86032","AZ","86032","=""86032""","24","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86033","AZ","86033","=""86033""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86034","AZ","86034","=""86034""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86035","AZ","86035","=""86035""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86036","AZ","86036","=""86036""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86038","AZ","86038","=""86038""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86039","AZ","86039","=""86039""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86040","AZ","86040","=""86040""","14","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86042","AZ","86042","=""86042""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86043","AZ","86043","=""86043""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86044","AZ","86044","=""86044""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86045","AZ","86045","=""86045""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86046","AZ","86046","=""86046""","23","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86047","AZ","86047","=""86047""","24","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86052","AZ","86052","=""86052""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86053","AZ","86053","=""86053""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86054","AZ","86054","=""86054""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86301","AZ","86301","=""86301""","18","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86303","AZ","86303","=""86303""","19","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86305","AZ","86305","=""86305""","22","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86313","AZ","86313","=""86313""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86314","AZ","86314","=""86314""","22","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86315","AZ","86315","=""86315""","28","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86320","AZ","86320","=""86320""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86321","AZ","86321","=""86321""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86322","AZ","86322","=""86322""","28","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86323","AZ","86323","=""86323""","33","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86324","AZ","86324","=""86324""","22","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86325","AZ","86325","=""86325""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86326","AZ","86326","=""86326""","20","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86327","AZ","86327","=""86327""","24","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86329","AZ","86329","=""86329""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86331","AZ","86331","=""86331""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86332","AZ","86332","=""86332""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86333","AZ","86333","=""86333""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86334","AZ","86334","=""86334""","31","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86335","AZ","86335","=""86335""","31","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86336","AZ","86336","=""86336""","21","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86337","AZ","86337","=""86337""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86338","AZ","86338","=""86338""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86343","AZ","86343","=""86343""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86351","AZ","86351","=""86351""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86401","AZ","86401","=""86401""","21","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86403","AZ","86403","=""86403""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86404","AZ","86404","=""86404""","16","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86406","AZ","86406","=""86406""","18","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86409","AZ","86409","=""86409""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86411","AZ","86411","=""86411""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86413","AZ","86413","=""86413""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86426","AZ","86426","=""86426""","21","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86429","AZ","86429","=""86429""","26","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86431","AZ","86431","=""86431""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86432","AZ","86432","=""86432""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86433","AZ","86433","=""86433""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86434","AZ","86434","=""86434""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86435","AZ","86435","=""86435""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86436","AZ","86436","=""86436""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86437","AZ","86437","=""86437""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86438","AZ","86438","=""86438""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86440","AZ","86440","=""86440""","25","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86441","AZ","86441","=""86441""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86442","AZ","86442","=""86442""","19","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86443","AZ","86443","=""86443""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86444","AZ","86444","=""86444""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86445","AZ","86445","=""86445""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86502","AZ","86502","=""86502""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86503","AZ","86503","=""86503""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86504","AZ","86504","=""86504""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86505","AZ","86505","=""86505""","33","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86506","AZ","86506","=""86506""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86507","AZ","86507","=""86507""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86508","AZ","86508","=""86508""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86510","AZ","86510","=""86510""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86511","AZ","86511","=""86511""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86512","AZ","86512","=""86512""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86514","AZ","86514","=""86514""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86520","AZ","86520","=""86520""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86535","AZ","86535","=""86535""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86538","AZ","86538","=""86538""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86540","AZ","86540","=""86540""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86544","AZ","86544","=""86544""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86545","AZ","86545","=""86545""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86547","AZ","86547","=""86547""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86556","AZ","86556","=""86556""","24","2020-2024","2020","Census","Arizona (State)"
